"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"1","ENSMUSG00000031442",276.788790063293,-4.95066730764623,0.576656079757058,2.50751828569529e-19,3.93981273048445e-15,"Mcf2l"
"2","ENSMUSG00000019853",58.5314965116973,-4.7000433455725,0.646499593015998,1.12245150081774e-14,4.40898949521209e-11,"Hebp2"
"3","ENSMUSG00000058254",123.468376028984,-4.3993058058255,0.625596131123837,6.06952704123769e-14,1.90728817743853e-10,"Tspan7"
"4","ENSMUSG00000090799",64.1570769894939,-4.24924200167944,0.616425961828275,1.55605927221085e-13,3.05610041062212e-10,"Klhl33"
"5","ENSMUSG00000025085",242.763088415873,-5.27645388172744,0.767228828218229,1.42692704514545e-13,3.05610041062212e-10,"Ablim1"
"6","ENSMUSG00000029648",508.508899575938,-5.22664783859736,0.79181018788144,9.27624673187293e-13,1.45748388651188e-09,"Flt1"
"7","ENSMUSG00000000881",180.109785641122,-2.61277229116979,0.399127935292739,2.25041378496182e-12,2.94654178244334e-09,"Dlg3"
"8","ENSMUSG00000021356",186.115656036783,-4.7351104852407,0.732556079797155,2.56439613176985e-12,3.09936861710522e-09,"Irf4"
"9","ENSMUSG00000026630",122.624375260928,-3.96574324489415,0.626124730138434,7.406497767097e-12,8.312206636902e-09,"Batf3"
"10","ENSMUSG00000016498",104.398969784216,-7.34274317395232,1.17954460229297,1.09552150706826e-11,1.14752226127044e-08,"Pdcd1lg2"
"11","ENSMUSG00000027765",200.278275624843,-2.79064156221147,0.457134413353679,3.509103525972e-11,3.06305747778178e-08,"P2ry1"
"12","ENSMUSG00000000303",44.2217166480855,-4.64316834163405,0.777165735780532,6.0418028211787e-11,4.52041932982665e-08,"Cdh1"
"13","ENSMUSG00000026637",281.287556181966,-1.96707529733604,0.324635139773222,6.33600956099577e-11,4.52506282828934e-08,"Traf5"
"14","ENSMUSG00000019987",665.307109551736,-6.50552051781137,1.11101636697333,7.86095453954548e-11,5.37005729240602e-08,"Arg1"
"15","ENSMUSG00000024247",206.87762888255,-3.28303581509098,0.550713935486972,8.4284243431869e-11,5.51780847000635e-08,"Pkdcc"
"16","ENSMUSG00000027997",477.56988780039,-2.06972292173812,0.346496727958164,9.40037487257696e-11,5.90794759991717e-08,"Casp6"
"17","ENSMUSG00000037697",586.863785258938,-3.31339333638849,0.560026785377098,1.04190528557105e-10,6.29631378726626e-08,"Ddhd1"
"18","ENSMUSG00000079293",3092.19365853504,-3.44307197046064,0.586237614799472,1.27379448488845e-10,7.41254035058052e-08,"Clec7a"
"19","ENSMUSG00000026656",7338.03073411014,-3.27047651022178,0.55958705114578,1.5685999434157e-10,8.8020865396241e-08,"Fcgr2b"
"20","ENSMUSG00000055044",78.2453381737372,-4.18800833625934,0.726169554545532,2.26604480204345e-10,1.18680319765689e-07,"Pdlim1"
"21","ENSMUSG00000031443",346.445474472042,-4.47918947897407,0.78225648473307,2.44204306367211e-10,1.19904314426301e-07,"F7"
"22","ENSMUSG00000055782",403.668521079427,-3.17170402162386,0.552025050170308,2.88771210653636e-10,1.37490098842119e-07,"Abcd2"
"23","ENSMUSG00000027670",197.206421986978,-6.39419125983907,1.17167688212368,8.23714387237048e-10,3.49789201412662e-07,"Ocstamp"
"24","ENSMUSG00000033960",127.734176277099,-2.2129922806399,0.397236806003569,9.85512752156013e-10,4.07483588470402e-07,"Jcad"
"25","ENSMUSG00000074634",65.1189105511336,-3.17428953929318,0.581880683691195,1.66055251298076e-09,6.52265027098843e-07,"Tmem267"
"26","ENSMUSG00000032870",3649.08273089877,-2.15891746373963,0.397500859137688,2.06215273712743e-09,7.53501018738283e-07,"Smap2"
"27","ENSMUSG00000002885",1661.63400318613,-3.53861508420523,0.659825698047807,2.29406313219438e-09,8.1918908938723e-07,"Adgre5"
"28","ENSMUSG00000042712",1234.3264477047,-1.76283930294601,0.329493184619892,4.15248244117265e-09,1.41834356773271e-06,"Tceal9"
"29","ENSMUSG00000025477",580.921755784095,-1.78906069350922,0.336083679138252,5.10552317603e-09,1.70676553493156e-06,"Inpp5a"
"30","ENSMUSG00000022637",2612.96221603325,-2.32677798013267,0.444481979381913,6.22488629216306e-09,2.03761277963471e-06,"Cblb"
"31","ENSMUSG00000058446",3079.25059453147,-1.91093922215037,0.368571276628858,9.66795892464213e-09,2.92121097353802e-06,"Znrf2"
"32","ENSMUSG00000041957",214.264410068544,-4.36139668972711,0.868619650002949,1.1972193867849e-08,3.5491907556914e-06,"Pkp2"
"33","ENSMUSG00000030789",5363.15201243035,-4.26721401338924,0.853833297701354,1.29338819041659e-08,3.69485731778644e-06,"Itgax"
"34","ENSMUSG00000036098",172.297319314646,-4.10549823607856,0.824177758266125,1.51790932228593e-08,4.1841037318871e-06,"Myrf"
"35","ENSMUSG00000061578",163.825905418665,-4.586081446108,0.971130905266278,4.33420454789442e-08,1.05246523521777e-05,"Ksr2"
"36","ENSMUSG00000032578",129.868064987766,-4.27746400919641,0.897453091605783,4.35401223836271e-08,1.05246523521777e-05,"Cish"
"37","ENSMUSG00000107622",25.133175264907,-5.34979292960303,1.12362657734394,4.90472783891281e-08,1.14912870012997e-05,"4930512J16Rik"
"38","ENSMUSG00000095457",19.7717525738989,-5.79792095211536,1.22744971170251,6.17175471001763e-08,1.36248310007294e-05,NA
