Ensemble,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbols
ENSMUSG00000031442,276.7887901,-4.950667308,0.57665608,2.51E-19,3.94E-15,Mcf2l
ENSMUSG00000066682,436.2056163,3.965431649,0.494573769,5.60E-17,4.40E-13,Pilrb2
ENSMUSG00000046245,2057.701426,4.706628648,0.591448691,1.01E-16,5.27E-13,Pilra
ENSMUSG00000019853,58.53149651,-4.700043346,0.646499593,1.12E-14,4.41E-11,Hebp2
ENSMUSG00000058254,123.468376,-4.399305806,0.625596131,6.07E-14,1.91E-10,Tspan7
ENSMUSG00000036766,65.7303202,5.226586991,0.739090454,8.89E-14,2.33E-10,Dner
ENSMUSG00000090799,64.15707699,-4.249242002,0.616425962,1.56E-13,3.06E-10,Klhl33
ENSMUSG00000025085,242.7630884,-5.276453882,0.767228828,1.43E-13,3.06E-10,Ablim1
ENSMUSG00000066684,428.1668611,3.950045437,0.56983055,2.02E-13,3.52E-10,Pilrb1
ENSMUSG00000029648,508.5088996,-5.226647839,0.791810188,9.28E-13,1.46E-09,Flt1
ENSMUSG00000008398,1649.299448,1.8449862,0.275611289,1.67E-12,2.39E-09,Elk3
ENSMUSG00000000881,180.1097856,-2.612772291,0.399127935,2.25E-12,2.95E-09,Dlg3
ENSMUSG00000021356,186.115656,-4.735110485,0.73255608,2.56E-12,3.10E-09,Irf4
ENSMUSG00000026630,122.6243753,-3.965743245,0.62612473,7.41E-12,8.31E-09,Batf3
ENSMUSG00000016498,104.3989698,-7.342743174,1.179544602,1.10E-11,1.15E-08,Pdcd1lg2
ENSMUSG00000052336,3063.308063,7.917314913,1.287304076,2.37E-11,2.33E-08,Cx3cr1
ENSMUSG00000050071,172.3485862,-0.182825206,0.420578834,2.61E-11,2.41E-08,Bex1
ENSMUSG00000027765,200.2782756,-2.790641562,0.457134413,3.51E-11,3.06E-08,P2ry1
ENSMUSG00000022841,11907.14103,-1.430670817,0.23178486,4.15E-11,3.43E-08,Ap2m1
