"","Ensemble","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbols"
"1","ENSMUSG00000066682",436.205616250926,3.96543164936121,0.494573769412856,5.60214431952403e-17,4.40104457741808e-13,"Pilrb2"
"2","ENSMUSG00000046245",2057.7014259793,4.70662864809689,0.591448691291053,1.00691703528862e-16,5.27356015281828e-13,"Pilra"
"3","ENSMUSG00000036766",65.7303201959104,5.22658699072632,0.739090454458218,8.89347708931219e-14,2.32890520045455e-10,"Dner"
"4","ENSMUSG00000066684",428.166861100235,3.9500454370346,0.569830549698421,2.01802872102413e-13,3.52302969608125e-10,"Pilrb1"
"5","ENSMUSG00000008398",1649.29944838858,1.84498619983118,0.275611288567868,1.67003258372239e-12,2.38541381413147e-09,"Elk3"
"6","ENSMUSG00000052336",3063.30806307872,7.91731491315859,1.28730407647464,2.36846962095421e-11,2.32583716777704e-08,"Cx3cr1"
"7","ENSMUSG00000063234",827.144212964241,6.77224479012462,1.11955912541772,5.71492632021796e-11,4.48964611716323e-08,"Gpr84"
"8","ENSMUSG00000002897",1309.10470359932,2.10795766211331,0.354151141316402,1.7626741223185e-10,9.55004683098905e-08,"Il17ra"
"9","ENSMUSG00000049871",249.039976509867,2.04248702068853,0.353452772131518,4.90028250173031e-10,2.19980681906247e-07,"Nlrc3"
"10","ENSMUSG00000042265",173.993697539572,5.88553413235668,1.03206921630473,5.35181183103766e-10,2.33576854136843e-07,"Trem1"
"11","ENSMUSG00000058427",4470.74476751324,6.72445201908342,1.22941637854035,1.57103292790016e-09,6.3292485546583e-07,"Cxcl2"
"12","ENSMUSG00000015947",6443.03116961885,3.60581126288051,0.651216826681931,1.73600527263253e-09,6.65271093746397e-07,"Fcgr1"
"13","ENSMUSG00000021285",745.35751991306,1.01874668578231,0.183061265365619,2.9408504722909e-09,1.02681428045855e-06,"Ppp1r13b"
"14","ENSMUSG00000024401",4447.38046702035,4.13303007940883,0.782542733753099,6.68193901864262e-09,2.14258420124312e-06,"Tnf"
"15","ENSMUSG00000032691",3007.45179906059,2.62591143200387,0.497847765572857,7.25446657272303e-09,2.27964357581248e-06,"Nlrp3"
"16","ENSMUSG00000030142",14173.3143241652,4.77052233572816,0.909434412778842,7.63616604618936e-09,2.35253805721034e-06,"Clec4e"
"17","ENSMUSG00000028885",709.39611215793,3.06165530983281,0.592305524439554,1.35526623121473e-08,3.80248982586533e-06,"Smpdl3b"
"18","ENSMUSG00000026981",6876.52912474623,3.88935744902243,0.769306323657939,2.10533291651019e-08,5.54944707337677e-06,"Il1rn"
"19","ENSMUSG00000078763",738.335174886372,6.54843999771633,1.30113476742901,2.07154481662718e-08,5.54944707337677e-06,"Slfn1"
"20","ENSMUSG00000022895",3102.2965604786,2.58495014091716,0.506733190177658,2.11918803718563e-08,5.54944707337677e-06,"Ets2"
"21","ENSMUSG00000047945",4565.11947924135,3.60960857908924,0.715442295326988,2.43094416115767e-08,6.26147453444416e-06,"Marcksl1"
"22","ENSMUSG00000036086",928.719308075854,1.30805592973547,0.255780343039112,2.7912263345324e-08,7.07350776906017e-06,"Zranb3"
"23","ENSMUSG00000042745",421.320057632133,4.56186622927212,0.931412143117425,4.62676820269219e-08,1.10145124243484e-05,"Id1"
"24","ENSMUSG00000027843",834.832212594398,2.21316074248788,0.453134428407502,6.77800047268021e-08,1.45884854009249e-05,"Ptpn22"
"25","ENSMUSG00000027397",1539.51299933947,1.82813508243019,0.374186829997248,7.05198913419408e-08,1.49730882806024e-05,"Slc20a1"
"26","ENSMUSG00000072437",165.207683409325,2.38488323098303,0.492160634408365,7.56883971859197e-08,1.58562146211356e-05,"Nanos1"
"27","ENSMUSG00000027276",1002.96051265853,3.63328904415022,0.755780027493377,8.91294212246662e-08,1.79538649523328e-05,"Jag1"
"28","ENSMUSG00000052749",241.664448236173,4.03885643235574,0.842350574469972,9.49360117759761e-08,1.87346464874085e-05,"Trim30b"
"29","ENSMUSG00000027995",3181.20373069383,2.70410064879079,0.5669437099936,1.06123085467435e-07,2.03342185227358e-05,"Tlr2"
"30","ENSMUSG00000028926",1998.20317213675,1.76093298073766,0.370512691865705,1.38287189411004e-07,2.46905490912011e-05,"Cdk14"
"31","ENSMUSG00000021360",111.568309491346,2.97043153346871,0.636822570598828,1.52857327925522e-07,2.69853296220876e-05,"Gcnt2"
"32","ENSMUSG00000048621",192.474337384474,3.44744532857466,0.74181752943806,1.63534418626127e-07,2.854947539393e-05,"Gm6377"
"33","ENSMUSG00000056091",2990.46868876197,2.2578719321591,0.481857409126592,1.6629786849132e-07,2.87128803267651e-05,"St3gal5"
"34","ENSMUSG00000029223",1617.28309415409,2.9541540090777,0.63424354438348,1.88246292097994e-07,3.14651674621669e-05,"Uchl1"
"35","ENSMUSG00000030156",242.98917141467,3.99753407644148,0.866323441602789,1.91939396818709e-07,3.17447558191111e-05,"Cd69"
"36","ENSMUSG00000059994",280.233818406312,2.44782413633687,0.530329969657272,2.22637246365359e-07,3.61733397280731e-05,"Fcrl1"
"37","ENSMUSG00000020841",12212.492211136,2.97049484359081,0.654488397579396,3.20150742141009e-07,4.98040441635597e-05,"Cpd"
"38","ENSMUSG00000053137",63.0500616889728,2.68722187327813,0.59561525961188,3.5018626216798e-07,5.34187043804204e-05,"Mapk11"
"39","ENSMUSG00000027134",185.66396043047,2.18291802760592,0.487544534507325,4.17992003836532e-07,6.0252205176877e-05,"Lpcat4"
"40","ENSMUSG00000053063",7271.98319163094,1.83484784509756,0.402970426162965,4.24363367897048e-07,6.06145203308947e-05,"Clec12a"
"41","ENSMUSG00000117239",273.837784865682,2.93773307374375,0.660061042528139,4.56996571985501e-07,6.39010469718594e-05,"Gpr31c"
